Tick, NumOfGoat, NumOfGrass 
1051, 42, 52
1052, 42, 50
1053, 42, 49
1054, 42, 49
1055, 42, 50
1056, 40, 50
1057, 40, 51
1058, 40, 50
1059, 40, 51
1060, 40, 54
1061, 40, 52
1062, 39, 49
1063, 39, 47
1064, 39, 50
1065, 40, 47
1066, 41, 48
1067, 41, 48
1068, 40, 52
1069, 41, 46
1070, 42, 39
1071, 42, 39
1072, 42, 41
1073, 43, 46
1074, 43, 45
1075, 43, 44
1076, 42, 43
1077, 42, 42
1078, 40, 45
1079, 39, 44
1080, 40, 46
1081, 40, 46
1082, 40, 48
1083, 39, 48
1084, 39, 51
1085, 38, 50
1086, 38, 51
1087, 38, 51
1088, 37, 54
1089, 37, 51
1090, 37, 52
1091, 38, 53
1092, 39, 52
1093, 39, 53
1094, 39, 52
1095, 39, 53
1096, 39, 48
1097, 39, 49
1098, 39, 46
1099, 40, 46
1100, 40, 49
1101, 39, 49
1102, 39, 51
1103, 40, 51
1104, 39, 51
1105, 38, 52
1106, 39, 52
1107, 40, 52
1108, 40, 49
1109, 42, 52
1110, 42, 50
1111, 42, 47
1112, 43, 46
1113, 43, 46
1114, 43, 46
1115, 43, 47
1116, 41, 47
1117, 40, 46
1118, 41, 46
1119, 39, 45
1120, 38, 47
1121, 39, 47
1122, 39, 46
1123, 39, 49
1124, 40, 47
1125, 42, 46
1126, 42, 45
1127, 42, 47
1128, 43, 51
1129, 43, 47
1130, 43, 51
1131, 42, 53
1132, 42, 56
1133, 41, 55
1134, 41, 54
1135, 41, 55
1136, 41, 52
1137, 40, 51
1138, 37, 49
1139, 37, 48
1140, 36, 42
1141, 36, 46
1142, 37, 45
1143, 38, 47
1144, 37, 45
1145, 38, 45
1146, 38, 40
1147, 39, 40
1148, 39, 39
1149, 40, 41
1150, 40, 41
1151, 41, 42
1152, 41, 41
1153, 40, 41
1154, 40, 45
1155, 39, 46
1156, 41, 48
1157, 41, 47
1158, 40, 48
1159, 40, 48
1160, 40, 51
1161, 41, 54
1162, 41, 54
1163, 41, 53
1164, 42, 53
1165, 43, 53
1166, 42, 55
1167, 43, 57
1168, 44, 56
1169, 45, 59
1170, 44, 52
1171, 44, 51
1172, 44, 47
1173, 44, 46
1174, 43, 49
1175, 42, 48
1176, 42, 50
1177, 40, 51
1178, 38, 45
1179, 40, 45
1180, 39, 45
1181, 38, 47
